date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-20T16:00:00,22506.0,23.0,5740.0,53247.0,,,,
2022-03-20T17:00:00,16650.0,24.0,4279.0,50817.0,,,,
2022-03-20T18:00:00,25460.0,26.0,4533.0,218735.0,,,,
2022-03-20T19:00:00,16263.0,22.0,5922.0,32964.0,,,,
2022-03-20T20:00:00,16368.0,23.0,4007.0,64119.0,,,,
2022-03-20T21:00:00,15114.0,24.0,5463.0,59250.0,,,,
2022-03-20T22:00:00,24158.0,23.0,6149.0,81827.0,,,,
2022-03-20T23:00:00,17492.0,23.0,5781.0,49133.0,,,,
2022-03-21T00:00:00,25373.0,27.0,5330.0,72990.0,,,,
2022-03-21T01:00:00,20836.0,24.0,4913.0,62103.0,,,,
2022-03-21T02:00:00,20232.0,24.0,5950.0,64368.0,,,,
2022-03-21T03:00:00,17385.0,24.0,4705.0,44557.0,,,,
2022-03-21T04:00:00,25534.0,24.0,5614.0,103666.0,,,,
2022-03-21T05:00:00,16261.0,26.0,7519.0,44303.0,,,,
2022-03-21T06:00:00,14566.0,23.0,4773.0,42000.0,,,,
2022-03-21T07:00:00,21250.0,24.0,3434.0,61657.0,,,,
2022-03-21T08:00:00,37584.0,24.0,5223.0,467854.0,,,,
2022-03-21T09:00:00,13948.0,21.0,5340.0,47534.0,,,,
2022-03-21T10:00:00,34022.0,21.0,4823.0,238917.0,,,,
2022-03-21T11:00:00,25142.0,26.0,4200.0,76330.0,,,,
2022-03-21T12:00:00,41291.0,25.0,3789.0,534380.0,,,,
2022-03-21T13:00:00,25181.0,24.0,4344.0,60769.0,,,,
2022-03-21T14:00:00,25890.0,24.0,5036.0,116289.0,,,,
2022-03-21T15:00:00,35551.0,24.0,2898.0,480059.0,,,,
2022-03-21T16:00:00,15459.0,24.0,4336.0,60459.0,,,,
2022-03-21T17:00:00,29894.0,23.0,5223.0,172658.0,,,,
2022-03-21T18:00:00,17628.0,27.0,4746.0,68257.0,,,,
2022-03-21T19:00:00,25983.0,23.0,5061.0,230835.0,,,,
2022-03-21T20:00:00,15626.0,23.0,4995.0,41816.0,,,,
2022-03-21T21:00:00,19665.0,24.0,5855.0,51121.0,,,,
